Provincia,Partido,Localidad,Cant_Hogares,PROM
BUENOS AIRES,25 de Mayo,25 de Mayo,6336.0,14.01
BUENOS AIRES,25 de Mayo,Agustín Mosconi,58.0,6.9
BUENOS AIRES,25 de Mayo,Del Valle,192.0,3.38
BUENOS AIRES,25 de Mayo,Ernestina,66.0,3.0
BUENOS AIRES,25 de Mayo,Gobernador Ugarte,181.0,3.34
BUENOS AIRES,25 de Mayo,Lucas Monteverde,6.0,3.0
BUENOS AIRES,25 de Mayo,Norberto de la Riestra,1282.0,6.9
BUENOS AIRES,25 de Mayo,Pedernales,575.0,3.4
BUENOS AIRES,25 de Mayo,San Enrique,103.0,6.7
BUENOS AIRES,25 de Mayo,Valdés,166.0,9.2
BUENOS AIRES,9 de Julio,12 de Octubre,11.0,3.0
BUENOS AIRES,9 de Julio,9 de Julio,14164.0,23.98
BUENOS AIRES,9 de Julio,Alfredo Demarchi  (Est. Facundo Quiroga),510.0,3.0
BUENOS AIRES,9 de Julio,Dudignac,378.0,4.94
BUENOS AIRES,9 de Julio,Manuel B. Gonnet  (Est. French),203.0,2.09
BUENOS AIRES,9 de Julio,Patricios,76.0,10.41
BUENOS AIRES,9 de Julio,Villa General Fournier  (Est. 9 de Julio Sud),130.0,10.47
BUENOS AIRES,Adolfo Alsina,Carhué,2484.0,13.29
BUENOS AIRES,Adolfo Alsina,Colonia San Miguel Arcángel,198.0,3.0
BUENOS AIRES,Adolfo Alsina,Esteban Agustín Gascón,58.0,3.0
BUENOS AIRES,Adolfo Alsina,Maza,406.0,5.02
BUENOS AIRES,Adolfo Alsina,Rivera,1202.0,10.59
BUENOS AIRES,Adolfo Gonzales Chaves,Adolfo Gonzales Chaves  (Est. Chaves),1810.0,15.04
BUENOS AIRES,Adolfo Gonzales Chaves,De la Garma,689.0,4.16
BUENOS AIRES,Adolfo Gonzales Chaves,Juan E. Barra,45.0,4.0
BUENOS AIRES,Adolfo Gonzales Chaves,Vásquez,14.0,3.14
BUENOS AIRES,Alberti,Alberti   (Est. Andrés Vaccarezza),482.0,15.04
BUENOS AIRES,Alberti,Mechita,285.0,3.07
BUENOS AIRES,Almirante Brown,Adrogué,19695.0,45.68
BUENOS AIRES,Almirante Brown,Burzaco,24758.0,50.86
BUENOS AIRES,Almirante Brown,Claypole,10118.0,54.49
BUENOS AIRES,Almirante Brown,Don Orione,3879.0,67.97
BUENOS AIRES,Almirante Brown,Glew,17975.0,42.55
BUENOS AIRES,Almirante Brown,Jose Mármol,7203.0,62.99
BUENOS AIRES,Almirante Brown,Longchamps,15064.0,50.31
BUENOS AIRES,Almirante Brown,Malvinas Argentinas,4167.0,74.07
BUENOS AIRES,Almirante Brown,Ministro Rivadavia,6816.0,45.02
BUENOS AIRES,Almirante Brown,Rafael Calzada,18707.0,47.39
BUENOS AIRES,Almirante Brown,San Francisco Solano,6610.0,50.97
BUENOS AIRES,Almirante Brown,San Jose,7201.0,68.95
BUENOS AIRES,AMBA,Otros,13.0,5.0
BUENOS AIRES,Arrecifes,Arrecifes,8318.0,26.6
BUENOS AIRES,Arrecifes,Todd,304.0,27.02
BUENOS AIRES,Arrecifes,Viña,110.0,3.0
BUENOS AIRES,Avellaneda,Avellaneda,14794.0,55.87
BUENOS AIRES,Avellaneda,Crucesita,6652.0,67.34
BUENOS AIRES,Avellaneda,Dock Sud,2866.0,53.25
BUENOS AIRES,Avellaneda,Gerli,9100.0,65.78
BUENOS AIRES,Avellaneda,Pineyro,7044.0,68.9
